mandate_category,year,revenue
COLLECTIVITE A STATUT PARTICULIER,2011,123409.0
COLLECTIVITE A STATUT PARTICULIER,2012,42404.0
COLLECTIVITE A STATUT PARTICULIER,2013,352112.0
COLLECTIVITE A STATUT PARTICULIER,2014,1204663.0
COLLECTIVITE A STATUT PARTICULIER,2015,926126.0
COLLECTIVITE A STATUT PARTICULIER,2016,1363976.0
COLLECTIVITE A STATUT PARTICULIER,2017,761460.0
COLLECTIVITE A STATUT PARTICULIER,2018,1656986.0
COLLECTIVITE A STATUT PARTICULIER,2019,150948.0
COLLECTIVITE A STATUT PARTICULIER,2020,119657.0
COLLECTIVITE A STATUT PARTICULIER,2021,21618.0
COLLECTIVITE A STATUT PARTICULIER,2022,98040.0
COLLECTIVITE A STATUT PARTICULIER,2023,54890.0
ELU DEPARTEMENTAL,2011,711075.0
ELU DEPARTEMENTAL,2012,1241039.0
ELU DEPARTEMENTAL,2013,694509.0
ELU DEPARTEMENTAL,2014,1815928.0
ELU DEPARTEMENTAL,2015,12729195.0
ELU DEPARTEMENTAL,2016,7983717.0
ELU DEPARTEMENTAL,2017,3026706.0
ELU DEPARTEMENTAL,2018,973070.0
ELU DEPARTEMENTAL,2019,433078.0
ELU DEPARTEMENTAL,2020,1254719.0
ELU DEPARTEMENTAL,2021,1051873.0
ELU DEPARTEMENTAL,2022,82976.0
ELU DEPARTEMENTAL,2023,3277.0
ELU REGIONAL,2010,122598.0
ELU REGIONAL,2011,433901.0
ELU REGIONAL,2012,486377.0
ELU REGIONAL,2013,339670.0
ELU REGIONAL,2014,767455.0
ELU REGIONAL,2015,2893438.0
ELU REGIONAL,2016,4441574.0
ELU REGIONAL,2017,1653909.0
ELU REGIONAL,2018,489615.0
ELU REGIONAL,2019,724029.0
ELU REGIONAL,2020,490092.0
ELU REGIONAL,2021,592906.0
ELU REGIONAL,2022,190682.0
ELU REGIONAL,2023,66464.0
MAIRE OU ADJOINT MUNICIPAL,2010,24276.0
MAIRE OU ADJOINT MUNICIPAL,2011,576128.0
MAIRE OU ADJOINT MUNICIPAL,2012,1481800.0
MAIRE OU ADJOINT MUNICIPAL,2013,337081.0
MAIRE OU ADJOINT MUNICIPAL,2014,11926800.0
MAIRE OU ADJOINT MUNICIPAL,2015,10031367.0
MAIRE OU ADJOINT MUNICIPAL,2016,2822963.0
MAIRE OU ADJOINT MUNICIPAL,2017,1840302.0
MAIRE OU ADJOINT MUNICIPAL,2018,1077330.0
MAIRE OU ADJOINT MUNICIPAL,2019,1874240.0
MAIRE OU ADJOINT MUNICIPAL,2020,994715.0
MAIRE OU ADJOINT MUNICIPAL,2021,194774.0
MAIRE OU ADJOINT MUNICIPAL,2022,611357.0
MAIRE OU ADJOINT MUNICIPAL,2023,8734.0
MEMBRE D'EPCI,2010,220475.0
MEMBRE D'EPCI,2011,1080075.0
MEMBRE D'EPCI,2012,1465573.0
MEMBRE D'EPCI,2013,503852.0
MEMBRE D'EPCI,2014,18599482.0
MEMBRE D'EPCI,2015,26011659.0
MEMBRE D'EPCI,2016,5169828.0
MEMBRE D'EPCI,2017,2819396.0
MEMBRE D'EPCI,2018,1690907.0
MEMBRE D'EPCI,2019,1731062.0
MEMBRE D'EPCI,2020,3695997.0
MEMBRE D'EPCI,2021,139349.0
MEMBRE D'EPCI,2022,30285.0
MEMBRE D'EPCI,2023,48238.0
