year,job_revenue,elective_revenue,executive_revenue
2010,594868.0,472899.0,5400.0
2011,7843623.0,3365439.0,664735.0
2012,22454340.0,7998612.0,1079165.0
2013,29048543.0,10541230.0,1972739.0
2014,80453973.0,321542961.0,6272667.0
2015,185963423.0,152368608.0,16596005.0
2016,235023415.0,204123969.0,20794998.0
2017,10089024914.0,228277303.0,26530279.0
2018,247080094.0,238914700.0,32310844.0
2019,4422764735.287,227064537.0,27274279.0
2020,162402708.0,198011577.0,21378261.0
2021,60292678.0,99233725.0,11801440.0
2022,19549681.0,27037636.0,5457807.0
2023,6214686.0,7501319.0,1140724.0
2024,76733.0,159821.0,5986.0
