departement,count
01,44
02,33
03,37
04,26
05,30
06,99
07,33
08,31
09,16
10,33
11,85
12,22
13,114
14,64
15,19
16,39
17,49
18,45
19,39
21,72
22,57
23,19
24,52
25,73
26,44
27,51
28,36
29,83
2A,6
2B,8
30,83
31,93
32,16
33,106
34,103
35,89
36,16
37,48
38,59
39,15
40,30
41,34
42,93
43,25
44,98
45,61
46,15
47,26
48,12
49,82
50,36
51,54
52,14
53,31
54,80
55,25
56,54
57,72
58,21
59,173
60,57
61,14
62,146
63,63
64,69
65,29
66,62
67,59
68,60
69,110
70,17
71,45
72,56
73,43
74,47
75,52
76,99
77,85
78,87
79,44
80,56
81,32
82,18
83,95
84,38
85,33
86,41
87,44
88,32
89,23
90,24
91,79
92,70
93,72
94,54
95,88
971,23
972,53
973,39
974,136
975,7
976,18
977,16
978,10
986,1
987,70
988,70
997,6
998,6
