date,date_depot_count,date_publication_count
2019-05,9.0,0.0
2019-06,25.0,0.0
2019-07,33.0,17.0
2019-08,48.0,0.0
2019-09,47.0,0.0
2019-10,7.0,0.0
2019-11,11.0,64.0
2019-12,4.0,0.0
2020-01,4.0,37.0
2020-02,11.0,4.0
2020-03,14.0,1.0
2020-04,11.0,0.0
2020-05,5.0,0.0
2020-06,41.0,1.0
2020-07,323.0,14.0
2020-08,741.0,0.0
2020-09,801.0,0.0
2020-10,513.0,0.0
2020-11,546.0,0.0
2020-12,281.0,1.0
2021-01,207.0,11.0
2021-02,329.0,22.0
2021-03,195.0,0.0
2021-04,209.0,13.0
2021-05,251.0,788.0
2021-06,286.0,814.0
2021-07,439.0,371.0
2021-08,840.0,537.0
2021-09,586.0,581.0
2021-10,261.0,405.0
2021-11,300.0,322.0
2021-12,340.0,635.0
2022-01,215.0,417.0
2022-02,158.0,417.0
2022-03,110.0,282.0
2022-04,120.0,210.0
2022-05,112.0,307.0
2022-06,83.0,242.0
2022-07,165.0,214.0
2022-08,125.0,237.0
2022-09,178.0,160.0
2022-10,195.0,206.0
2022-11,175.0,192.0
2022-12,122.0,82.0
2023-01,95.0,137.0
2023-02,132.0,69.0
2023-03,76.0,370.0
2023-04,62.0,249.0
2023-05,190.0,210.0
2023-06,90.0,256.0
2023-07,199.0,126.0
2023-08,83.0,261.0
2023-09,131.0,140.0
2023-10,147.0,68.0
2023-11,252.0,139.0
2023-12,192.0,100.0
2024-01,165.0,0.0
2024-02,199.0,187.0
2024-03,212.0,178.0
2024-04,182.0,110.0
2024-05,161.0,648.0
2024-06,54.0,46.0
