declarant_age_bin,year,revenue_per_pers
17-30,2010,0.0
17-30,2011,0.0
17-30,2012,450.0
17-30,2013,0.0
17-30,2014,5873.125
17-30,2015,11642.916666666666
17-30,2016,10341.714285714286
17-30,2017,10660.214285714286
17-30,2018,14893.636363636364
17-30,2019,6923.666666666667
17-30,2020,19182.285714285714
17-30,2021,6928.0
17-30,2022,41647.0
17-30,2023,0.0
30-40,2010,24276.0
30-40,2011,30070.5
30-40,2012,9528.75
30-40,2013,22308.2
30-40,2014,23792.23404255319
30-40,2015,22866.26724137931
30-40,2016,18794.444444444445
30-40,2017,21886.222222222223
30-40,2018,52074.90697674418
30-40,2019,18261.628571428573
30-40,2020,8581.25
30-40,2021,5486.416666666667
30-40,2022,15441.25
30-40,2023,0.0
40-50,2010,26007.5
40-50,2011,26459.0
40-50,2012,30053.260869565216
40-50,2013,27744.62962962963
40-50,2014,32761.45418326693
40-50,2015,31971.256797583083
40-50,2016,28141.377245508982
40-50,2017,20099.5
40-50,2018,26605.666666666668
40-50,2019,32439.3
40-50,2020,15983.073529411764
40-50,2021,15968.21052631579
40-50,2022,15341.5
40-50,2023,12301.333333333334
50-60,2010,27708.333333333332
50-60,2011,40872.73333333333
50-60,2012,53912.94
50-60,2013,43992.69565217391
50-60,2014,36695.37583892617
50-60,2015,30698.853309481216
50-60,2016,33257.51162790698
50-60,2017,30715.03305785124
50-60,2018,22780.416666666668
50-60,2019,33092.688888888886
50-60,2020,22908.0
50-60,2021,23840.3488372093
50-60,2022,123226.0
50-60,2023,14525.333333333334
60-70,2010,33775.75
60-70,2011,37411.27272727273
60-70,2012,55044.3125
60-70,2013,48614.04761904762
60-70,2014,35356.07094594595
60-70,2015,43940.508583690986
60-70,2016,32177.098591549297
60-70,2017,27920.242424242424
60-70,2018,25817.613636363636
60-70,2019,39650.51515151515
60-70,2020,13141.656804733728
60-70,2021,10481.636363636364
60-70,2022,9841.2
60-70,2023,18937.0
70+,2010,45283.0
70+,2011,55758.0
70+,2012,29342.0
70+,2013,20415.0
70+,2014,47929.989795918365
70+,2015,28758.120805369126
70+,2016,23250.62745098039
70+,2017,16624.833333333332
70+,2018,28076.75
70+,2019,21379.7
70+,2020,11046.323529411764
70+,2021,13524.76923076923
70+,2022,10081.5
70+,2023,9794.5
